District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
BELGAUM,1997,Kharif,11268,1820,34.76780882,6.716743399,62.96201173,29.03839831,39.56738901,14.47710183,4.380429818,12.56059778,arhar/tur
BELLARY,1997,Kharif,10477,3324,31.7333256,6.724947052,61.73521912,32.42809982,36.27858044,14.09093762,7.182244642,10.99229518,arhar/tur
BENGALURU URBAN,1997,Kharif,6057,4131,33.87329936,7.47950117,60.3210326,28.49297795,39.75369991,14.79490682,6.650085996,10.85940215,arhar/tur
BIDAR,1997,Kharif,48463,3499,34.39151625,7.231638767,61.48433604,26.75397203,38.63785014,17.69721541,7.102720614,12.76036267,arhar/tur
BIJAPUR,1997,Kharif,20286,2428,33.04152133,7.192431065,64.18482027,25.21391092,39.03195834,16.03072182,4.02724475,12.69647217,arhar/tur
CHIKMAGALUR,1997,Kharif,930,217,31.11109437,7.38287983,63.70655564,31.62597872,35.10075547,14.5103045,7.795872282,12.18526162,arhar/tur
CHITRADURGA,1997,Kharif,10247,4225,33.33306483,6.986608634,60.16791616,27.29859924,36.8117287,15.17119664,5.116873962,13.71621872,arhar/tur
DHARWAD,1997,Kharif,13160,4851,30.40353124,6.783777944,64.28150651,27.63647226,37.5485813,16.37472959,4.038519859,10.30067166,arhar/tur
GULBARGA,1997,Kharif,238994,60394,31.98279844,7.325642701,62.27937807,30.10962153,35.97117362,14.49324956,6.687916979,12.63602366,arhar/tur
HASSAN,1997,Kharif,3432,828,32.8197596,7.030068624,60.83772855,26.8835757,36.8725182,17.48808807,5.100693707,12.61098182,arhar/tur
KOLAR,1997,Kharif,9925,3432,32.99792401,7.14335531,64.88293017,26.20430441,38.98662473,14.48336639,4.019173216,13.21548966,arhar/tur
MANDYA,1997,Kharif,1806,422,32.29113118,7.276632024,64.61837508,25.66650684,35.31398778,15.91226649,5.154127337,12.0835809,arhar/tur
MYSORE,1997,Kharif,7509,1812,31.09239207,7.107784905,62.62607078,32.64327908,37.31928179,15.02525068,6.005209372,11.85185938,arhar/tur
RAICHUR,1997,Kharif,25952,3156,32.20417749,7.348629034,61.24397154,25.53441515,38.0649879,16.84106405,6.925208959,12.07876015,arhar/tur
SHIMOGA,1997,Kharif,1951,456,30.16762848,6.78210339,62.2249964,29.43803619,38.48287977,14.32988191,7.607977088,12.7870783,arhar/tur
TUMKUR,1997,Kharif,11135,3427,33.50383573,6.829546153,61.37871637,29.50169114,36.3283369,14.34954522,5.088031048,12.42754361,arhar/tur
UTTAR KANNAD,1997,Kharif,218,51,31.75528799,6.913961569,60.2671835,32.38509046,39.13842735,17.11014027,6.827860881,10.88095823,arhar/tur
BELGAUM,1997,Kharif,34917,5666,16.17291123,6.328631685,41.34869371,30.28626575,22.76447406,42.72632991,29.16953272,0,bajra
BELLARY,1997,Kharif,14047,7221,15.43541425,6.083628117,46.00368561,31.02049672,20.03420618,38.9595356,29.56274882,0,bajra
BIDAR,1997,Kharif,14756,9500,16.87334382,5.822277053,49.26884413,31.70590028,21.48694025,42.49723034,31.06206162,0,bajra
BIJAPUR,1997,Kharif,94756,40777,15.50835733,5.910774805,59.9358934,30.68550737,24.04421996,40.96334851,29.4168219,0,bajra
CHITRADURGA,1997,Kharif,5257,1816,15.35519764,5.810462552,43.45461099,30.00415264,22.8622879,41.14470072,28.44561315,0,bajra
DHARWAD,1997,Kharif,1581,564,15.28687861,6.134946725,46.12164181,30.38749972,23.20105791,40.52121727,27.31054448,0,bajra
GULBARGA,1997,Kharif,66832,39483,16.39815931,5.888863399,52.82564456,30.9130882,24.64042194,39.26640731,32.24114288,0,bajra
KOLAR,1997,Kharif,119,44,16.09673777,6.39112215,47.94072333,30.220094,20.91294095,42.80041486,30.00810501,0,bajra
MYSORE,1997,Kharif,365,161,17.06050405,6.418598144,47.24360011,31.29836202,22.48319258,42.96958123,29.32950359,0,bajra
RAICHUR,1997,Kharif,68296,26777,16.3040465,5.884955525,57.64718632,30.34514692,24.87887926,42.1369964,28.23443381,0,bajra
TUMKUR,1997,Kharif,223,47,18.43016582,5.851697027,44.58686354,30.43556451,20.13730254,40.60288741,27.64540366,0,bajra
BELGAUM,1997,Whole Year,215,26,25.48210015,9.097367964,8.936192511,22.26565249,23.42658064,38.28446583,0,0,coriander
BELLARY,1997,Whole Year,10736,2168,17.47281774,8.832218478,9.187659728,22.23496669,20.91192216,37.59226138,0,0,coriander
BENGALURU URBAN,1997,Whole Year,154,17,18.44999853,8.104765205,9.2748262,25.24327194,24.09042082,42.26324941,0,0,coriander
BIDAR,1997,Whole Year,701,74,26.07370184,8.254545124,9.897748126,23.32547876,18.1918778,37.66027697,0,0,coriander
BIJAPUR,1997,Whole Year,400,38,24.60722263,9.931715728,9.254925824,24.43002128,16.25059768,42.39065671,0,0,coriander
CHIKMAGALUR,1997,Whole Year,1180,120,15.1974884,9.393372516,7.715950901,24.54376489,23.37790111,42.16534299,0,0,coriander
CHITRADURGA,1997,Whole Year,782,79,26.27430153,9.582965081,9.402522961,22.27168984,23.498968,37.81236999,0,0,coriander
DHARWAD,1997,Whole Year,1796,185,24.64830635,8.347637323,9.686854944,24.88564498,16.26251666,37.39260394,0,0,coriander
GULBARGA,1997,Whole Year,21,3,21.59023965,8.318164847,8.367091356,24.26928643,23.35495314,40.31759745,0,0,coriander
HASSAN,1997,Whole Year,251,32,21.29081692,8.443360119,7.566303615,23.42449502,22.23791552,41.6516669,0,0,coriander
KOLAR,1997,Whole Year,67,7,26.9691361,8.374907846,8.001830181,27.9014744,17.05154551,38.98220485,0,0,coriander
MYSORE,1997,Whole Year,870,86,18.01632869,8.085392069,9.434699052,26.68437405,18.5835676,39.27824166,0,0,coriander
RAICHUR,1997,Whole Year,38,7,25.37774248,8.614102075,7.88087797,25.50765467,20.5939903,42.68643296,0,0,coriander
SHIMOGA,1997,Whole Year,83,8,16.87373644,9.848809326,9.532565376,22.48490481,17.88069629,39.71655501,0,0,coriander
TUMKUR,1997,Whole Year,23,3,24.89284463,8.221096211,8.921672353,23.79699024,23.45408688,41.74993174,0,0,coriander
BELGAUM,1997,Kharif,75288,58174,24.11671571,6.606977069,52.44986577,25.08264111,23.40560359,5.614157189,7.116542272,11.35523744,groundnut
BELLARY,1997,Kharif,76932,38353,26.72035765,6.689281376,62.93500008,32.54959624,18.69173504,5.779242416,8.329065752,8.698487912,groundnut
BENGALURU URBAN,1997,Kharif,19469,19986,29.25591446,6.877951877,69.27050874,34.22819341,21.84400457,6.172238128,7.240135422,8.185119678,groundnut
BIDAR,1997,Kharif,2499,648,28.94077046,6.808910612,56.91533245,33.30598056,24.83495096,6.643427561,7.303644366,9.332644764,groundnut
BIJAPUR,1997,Kharif,61771,18424,29.7659786,6.637080736,51.87805973,28.38911042,20.99988876,5.70097988,7.107925053,10.64786788,groundnut
CHIKMAGALUR,1997,Kharif,5010,6189,23.04171471,6.870953223,67.31770928,31.34129418,24.79290458,5.906130254,9.717863032,9.468957785,groundnut
CHITRADURGA,1997,Kharif,131629,88231,29.61959947,6.989412257,58.90657047,30.73651307,24.0773406,5.582288324,7.986589728,9.720460571,groundnut
DHARWAD,1997,Kharif,116222,73437,27.05645803,6.658272518,72.08265503,29.88854663,19.66057328,5.325790999,9.041149404,10.80922497,groundnut
GULBARGA,1997,Kharif,66070,29837,22.726099,6.700128989,59.30126638,27.72219753,22.71387641,6.758279348,8.603950091,9.207167177,groundnut
HASSAN,1997,Kharif,3506,4250,22.48287747,6.917966168,63.74882556,34.99645482,19.19588578,5.235955746,6.047019839,8.754503732,groundnut
KOLAR,1997,Kharif,86924,68844,29.13116214,6.564616535,69.0776679,28.18596241,19.05026047,5.128205194,8.18586773,8.002268213,groundnut
MANDYA,1997,Kharif,7230,4372,22.01376502,6.696226424,69.78414852,28.13686035,21.53466154,6.562735884,6.808404537,11.95893049,groundnut
MYSORE,1997,Kharif,36156,36705,29.52819657,6.607269267,66.01183864,29.97073499,20.41293706,6.130205822,8.679318688,8.664036909,groundnut
RAICHUR,1997,Kharif,62527,22818,25.9995307,6.907475997,74.56717934,25.10591747,21.21232171,6.178095886,9.658807184,10.16282373,groundnut
SHIMOGA,1997,Kharif,6407,7075,29.82678696,6.68924829,57.54121863,25.37397579,18.45733675,6.941698741,7.739217373,8.37272165,groundnut
TUMKUR,1997,Kharif,89163,47699,20.75324978,6.522924588,70.29589512,33.2893179,22.9783411,6.050526931,8.433840925,10.40889689,groundnut
UTTAR KANNAD,1997,Kharif,863,520,28.53384482,6.719828173,58.87444042,32.78842166,18.13362672,6.558638974,9.770077858,10.73337542,groundnut
BELGAUM,1997,Rabi,140805,63996,28.62493517,6.759916492,61.17803967,27.15863559,16.60515074,9.551193839,19.82580705,9.532937811,jowar
BELLARY,1997,Rabi,41994,40394,29.85394212,7.281990312,56.91375842,26.91722973,17.64933006,8.453570624,18.45411309,10.19360782,jowar
BIDAR,1997,Rabi,37204,5233,30.37683871,6.358974599,47.44485002,26.75575492,16.35642461,8.538618318,18.17648862,8.760711904,jowar
BIJAPUR,1997,Rabi,510692,263237,28.88302697,6.998234527,33.66537844,29.07475169,17.67418833,6.881297879,20.03805452,10.78724089,jowar
CHIKMAGALUR,1997,Rabi,6280,6417,28.2482238,6.240290248,60.43998748,29.07199321,16.84187716,8.812205348,21.83001954,9.848903838,jowar
CHITRADURGA,1997,Rabi,32746,13681,25.5821678,6.322882117,51.59428811,26.59609533,16.16366605,7.116430552,18.39048024,11.19668954,jowar
DHARWAD,1997,Rabi,171442,85600,30.98416113,6.783104517,49.52851065,26.31706304,16.96424415,6.302682909,20.13246847,10.93954248,jowar
GULBARGA,1997,Rabi,357100,146121,31.82436573,6.720700176,55.35783612,25.97597633,17.04799895,9.092958062,18.19253039,10.60644475,jowar
HASSAN,1997,Rabi,1433,630,29.16169,6.036683853,41.93618047,28.17060931,16.14210632,9.257699746,20.68433293,8.934466975,jowar
MYSORE,1997,Rabi,1026,462,26.09347612,6.253522817,47.450818,28.86759008,16.04535299,9.262056232,18.73286568,10.30324258,jowar
RAICHUR,1997,Rabi,194872,94518,28.48976533,6.444472062,57.56438644,28.58516692,17.23845353,9.929664638,18.05209549,9.384710439,jowar
SHIMOGA,1997,Rabi,2779,1239,28.70947875,6.393513823,34.36669404,29.57981064,17.97616465,6.499093036,20.13978311,11.19902822,jowar
TUMKUR,1997,Rabi,2740,1218,27.698746,6.515273086,56.02997148,29.51357019,17.54548447,6.725330053,20.0677542,8.928800554,jowar
UTTAR KANNAD,1997,Rabi,59,27,30.06515146,6.262266056,36.34030674,25.51254246,17.14676338,8.507122052,21.50137175,9.974578307,jowar
BELGAUM,1997,Kharif,58549,181319,25.10897246,5.691454344,105.6594337,28.7955065,30.76090783,15.37125384,42.94539545,8.312818615,maize-k
BELLARY,1997,Kharif,73445,217603,25.61127714,7.315595995,79.23215094,26.78873932,30.74057517,16.96716001,45.49524589,8.927203437,maize-k
BENGALURU URBAN,1997,Kharif,5972,16426,29.02967145,5.884741626,94.53156261,27.47400198,31.41411822,16.99047538,40.02497003,11.87793912,maize-k
BIDAR,1997,Kharif,292,522,28.66369069,7.493107122,64.49718641,25.7276773,30.89502454,20.9175527,42.44830957,8.212467368,maize-k
BIJAPUR,1997,Kharif,37593,132035,26.50446797,5.90364857,66.99904616,25.27918869,30.9559426,19.65216524,44.76407283,10.46829002,maize-k
CHIKMAGALUR,1997,Kharif,340,742,28.92926074,7.043831838,73.26275257,29.80543696,30.99432319,18.82688909,43.47042188,8.836735513,maize-k
